Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
N897FE,C208,KGUP,Gallup Muni,"Gallup, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 12:41:00,2017-02-13 15:11:00,Unknown
CPZ6064,E75L,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KLAX,Los Angeles Intl,"Los Angeles, CA",2017-02-11 12:41:00,2017-02-11 13:27:00,1:46
CTA124,,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KFFZ,Falcon Fld,"Mesa, AZ",2017-02-11 12:45:00,2017-02-11 14:40:00,1:54
N442RY,R44,L 35.08472 -106.64389,"Albuquerque, NM","Albuquerque, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 12:49:00,,n/a
SWA3214,B737,KLAS,Harry Reid Intl,"Las Vegas, NV",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 12:59:00,2017-02-11 14:58:00,0:58
N305LG,BE20,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 13:09:00,2017-02-11 14:02:00,0:53
ASH5719,CRJ9,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 13:29:00,2017-02-11 14:12:00,0:43
N912NM,PC12,KPSO,Stevens Field,"Pagosa Springs, CO",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 13:45:00,2017-02-11 14:20:00,0:34
N4714Y,,L 34.96333 -106.28111,"Albuquerque, NM","Albuquerque, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 13:46:00,,n/a
N512AR,,L 36.03972 -107.14056,"Los Alamos, NM","Los Alamos, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 13:46:00,,n/a
ENY3513,CRJ7,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KORD,Chicago O'Hare Intl,"Chicago, IL",2017-02-11 13:47:00,2017-02-11 16:50:00,2:03
SWA5901,B737,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 13:51:00,2017-02-11 14:35:00,0:44
SWA2376,B737,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KLAX,Los Angeles Intl,"Los Angeles, CA",2017-02-11 13:53:00,2017-02-11 14:37:00,1:44
BLK1,,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",L 35.05580 -106.67500,"Albuquerque, NM","Albuquerque, NM",2017-02-11 14:09:00,,n/a
