Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
N185SD,,KSNA,John Wayne,"Santa Ana, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:56:00,2017-02-09 18:26:00,0:30
SWA508,B737,KSJC,San Jose Int'l,"San Jose, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:59:00,2017-02-09 18:53:00,0:53
SWA508,B737,KSJC,San Jose Int'l,"San Jose, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:59:00,2017-02-09 17:59:00,0:00
N4126A,R44,L 33.66351 -117.75700,"Santa Ana, CA","Santa Ana, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 18:01:00,2017-02-10 12:06:00,18:05
N910VP,C750,KTEB,Teterboro,"Teterboro, NJ",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 18:02:00,2017-02-09 20:18:00,5:16
DAL2097,A319,KMSP,Minneapolis/St Paul Intl,"Minneapolis, MN",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 18:02:00,2017-02-09 19:49:00,3:47
SWA615,B737,KSNA,John Wayne,"Santa Ana, CA",KOAK,Metro Oakland Intl,"Oakland, CA",2017-02-09 18:13:00,2017-02-09 19:17:00,1:04
SWA1890,B737,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 18:15:00,2017-02-09 18:09:00,0:53
AAL1034,B738,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 18:20:00,2017-02-09 18:16:00,0:56
UAL809,A320,KSNA,John Wayne,"Santa Ana, CA",KDEN,Denver Intl,"Denver, CO",2017-02-09 18:21:00,2017-02-09 21:07:00,1:46
UAL684,A320,KIAH,Houston Bush Int'ctl,"Houston, TX",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 18:29:00,2017-02-09 19:28:00,2:59
SWA4664,B737,KSNA,John Wayne,"Santa Ana, CA",KSJC,San Jose Int'l,"San Jose, CA",2017-02-09 18:32:00,2017-02-09 19:31:00,0:59
DAL952,B712,KSNA,John Wayne,"Santa Ana, CA",KSLC,Salt Lake City Intl,"Salt Lake City, UT",2017-02-09 18:40:00,2017-02-09 21:02:00,1:22
SKW3404,E75L,KSJC,San Jose Int'l,"San Jose, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 18:42:00,2017-02-09 19:53:00,1:11
UAL1281,A320,KSFO,San Francisco Int'l,"San Francisco, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 18:43:00,2017-02-09 19:51:00,1:08
N116RW,F900,KSNA,John Wayne,"Santa Ana, CA",KLAS,Harry Reid Intl,"Las Vegas, NV",2017-02-09 18:48:00,2017-02-09 19:29:00,0:41
